i  j  rcb      Mcb      Etotcb 
 7  1  10.168  10.001  -1882125569228153446994690614558195712.000 
 7  2  10.229  10.001  -1875233314069361734520519438570094592.000 
 7  3  10.289  10.001  -1867926082537032368655040413148643328.000 
 7  4  10.350  10.001  -1860237836555665156925910766692859904.000 
 7  5  10.412  10.001  -1852105037025215692223055463117225984.000 
 7  6  10.473  10.001  -1843550207906319560247219634130911232.000 
 7  7  10.535  10.001  -1834541500200263136239214144371294208.000 
 7  8  10.597  10.001  -1825057354508336847408834356751368192.000 
 7  9  10.659  10.001  -1815108671109730457144712784276094976.000 
 7  10  10.722  10.001  -1804638892376458784634247023565996032.000 
 7  11  10.785  10.001  -1793674014112412784379182302074241024.000 
 7  12  10.848  10.001  -1782157844952643448655925601779056640.000 
 7  13  10.911  10.001  -1770098964001561126133995141305729024.000 
 7  14  10.975  10.001  -1757471277870541862328152359012663296.000 
 7  15  11.039  10.001  -1744246236061241536040251558213976064.000 
 7  16  11.103  10.001  -1730429987517699907652182319403368448.000 
 7  17  11.167  10.001  -1715968449690406955814890882300116992.000 
 7  18  11.232  10.001  -1700878617368369604741200274876530688.000 
 7  19  11.296  10.001  -1685105603068001525770493013931327488.000 
 7  20  11.361  10.001  -1668655478910050999379791498545463296.000 
 7  21  11.427  10.001  -1651491251201792053610656199453179904.000 
 7  22  11.492  10.001  -1633594077517011238746325331839287296.000 
 7  23  11.557  10.001  -1614952490705371032083823068545286144.000 
 7  24  11.623  10.001  -1595523484890225098647720281944096768.000 
 7  25  11.689  10.001  -1575310198523364029637588696692686848.000 
 7  26  11.755  10.001  -1554260290574987021262056463800467456.000 
 7  27  11.821  10.001  -1532378626922438467547087552919896064.000 
 7  28  11.888  10.001  -1509614298883372209524655599604727808.000 
 7  29  11.954  10.001  -1485965840311982436929596905505161216.000 
 7  30  12.021  10.001  -1461389259748382273653378402075279360.000 
 7  31  12.088  10.001  -1435873569488076081201053591561830400.000 
 7  32  12.155  10.001  -1409382835814929601522559784576876544.000 
 7  33  12.222  10.001  -1381896579413415935635161634903687168.000 
